Source:,"EM-DAT, CRED / UCLouvain, Brussels, Belgium",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,www.emdat.be (D. Guha-Sapir),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Version:,2020-10-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
File creation:,"Fri, 16 Oct 2020 17:10:00 CEST",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table type:,Custom request,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# of records:,3804,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dis No,Year,Seq,Disaster Group,Disaster Subgroup,Disaster Type,Disaster Subtype,Disaster Subsubtype,Event Name,Entry Criteria,Country,ISO,Region,Continent,Location,Origin,Associated Dis,Associated Dis2,OFDA Response,Appeal,Declaration,Aid Contribution,Dis Mag Value,Dis Mag Scale,Latitude,Longitude,Local Time,River Basin,Start Year,Start Month,Start Day,End Year,End Month,End Day,Total Deaths,No Injured,No Affected,No Homeless,Total Affected,Reconstruction Costs ('000 US$),Insured Damages ('000 US$),Total Damages ('000 US$),CPI
1926-0012-CUB,1926,0012,Natural,Meteorological,Storm,Tropical cyclone,,,Kill,Cuba,CUB,Caribbean,Americas,Havana and suburbs,,,,,,,,,Kph,,,,,1926,10,20,1926,10,20,600,,,,,,,,"6,9402357562"
1928-0024-CAN,1928,0024,Natural,Geophysical,Earthquake,Tsunami,,,Kill,Canada,CAN,Northern America,Americas,"Burin Peninsula, Newfoundland",Earthquake,,,,No,No,,7,Richter,48.60 N,58.00 W,,,1928,11,18,1928,11,18,27,,,,,,,,"6,7315068613"
1928-0003-CHL,1928,0003,Natural,Geophysical,Earthquake,Ground movement,,,Kill,Chile,CHL,South America,Americas,Talca,,,,,,,,,Richter,35.28 S,71.40 W,,,1928,,,1928,,,220,,,,,,,,"6,7315068613"
1928-0015-GLP,1928,0015,Natural,Meteorological,Storm,Tropical cyclone,,Felipe,Kill,Guadeloupe,GLP,Caribbean,Americas,,,,,,No,No,,,Kph,,,,,1928,9,15,1928,9,15,2000,,,,,,,,"6,7315068613"
1929-0003-BHS,1929,0003,Natural,Meteorological,Storm,Tropical cyclone,,,OFDA,Bahamas (the),BHS,Caribbean,Americas,Nassau,,,,,,,,,Kph,,,,,1929,9,26,1929,9,26,,,,,,,,,"6,7315068613"
1930-0024-DMA,1930,0024,Natural,Meteorological,Storm,Tropical cyclone,,,Kill,Dominica,DMA,Caribbean,Americas,San Zenon,,,,,,,,,Kph,,,,,1930,9,3,1930,9,3,2000,,,,,,,,"6,5488690783"
1930-0009-DOM,1930,0009,Natural,Meteorological,Storm,Tropical cyclone,,San Zenon,Kill,Dominican Republic (the),DOM,Caribbean,Americas,Santo Domingo,,,,,,,,,Kph,,,,,1930,9,3,1930,9,3,2000,6000,6000,,12000,,,40000,"6,5488690783"
1931-9014-CAN,1931,9014,Natural,Climatological,Drought,Drought,,,,Canada,CAN,Northern America,Americas,"Prairie provinces, Western Canada",,Heat wave,,,No,No,,,Km2,,,,,1931,1,,1940,,,,,25000,,25000,,,,"5,9618190613"
1931-0009-BLZ,1931,0009,Natural,Meteorological,Storm,Tropical cyclone,,,Kill,Belize,BLZ,Central America,Americas,Belize city,,,,,,,,,Kph,,,,,1931,9,10,1931,9,10,1500,,,,,,,7500,"5,9618190613"
1931-0005-ECU,1931,0005,Natural,Hydrological,Landslide,Landslide,,,Kill,Ecuador,ECU,South America,Americas,Huigra,,,,,,,,,,,,,,1931,2,14,1931,2,14,190,,,,,,,,"5,9618190613"
1931-0010-HND,1931,0010,Natural,Meteorological,Storm,Tropical cyclone,,,Kill,Honduras,HND,Central America,Americas,,,,,,,,,,Kph,,,,,1931,9,10,1931,9,10,1500,,,,,,,,"5,9618190613"
1932-0006-CUB,1932,0006,Natural,Meteorological,Storm,Tropical cyclone,,,Kill,Cuba,CUB,Caribbean,Americas,Santa Cruz Del Sur (Camaguey province),,,,,No,No,,,Kph,,,,,1932,11,9,1932,11,9,2500,,,,,,,,"5,3486779324"
1935-0009-BHS,1935,0009,Natural,Meteorological,Storm,Tropical cyclone,,,Kill,Bahamas (the),BHS,Caribbean,Americas,Bimini,,,,,,,,,Kph,,,,,1935,9,29,1935,9,29,14,,,,,,,,"5,3747690443"
