Source:,"EM-DAT, CRED / UCLouvain, Brussels, Belgium",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,www.emdat.be (D. Guha-Sapir),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Version:,2020-10-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
File creation:,"Thu, 15 Oct 2020 02:11:23 CEST",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table type:,Custom request,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# of records:,1932,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dis No,Year,Seq,Disaster Group,Disaster Subgroup,Disaster Type,Disaster Subtype,Disaster Subsubtype,Event Name,Entry Criteria,Country,ISO,Region,Continent,Location,Origin,Associated Dis,Associated Dis2,OFDA Response,Appeal,Declaration,Aid Contribution,Dis Mag Value,Dis Mag Scale,Latitude,Longitude,Local Time,River Basin,Start Year,Start Month,Start Day,End Year,End Month,End Day,Total Deaths,No Injured,No Affected,No Homeless,Total Affected,Reconstruction Costs ('000 US$),Insured Damages ('000 US$),Total Damages ('000 US$),CPI
1956-0037-GRC,1956,0037,Natural,Geophysical,Earthquake,Ground movement,,,Kill,Greece,GRC,Southern Europe,Europe,"Santorini, Islands of Amorgos and Astypaiaia, Aegean islands, Crete, Folegrandos",,Tsunami/Tidal wave,Volcanic activity,,,,,8,Richter,36.664,25.957,05:11,,1956,7,9,1956,7,9,53,100,,,100,,,,"10,6327191683"
1956-0028-BEL,1956,0028,Natural,Hydrological,Flood,,,,Govern,Belgium,BEL,Western Europe,Europe,Verviers,,,,,,,,,Km2,,,,,1956,5,29,1956,5,29,4,,,,,,,,"10,6327191683"
1956-0056-ESP,1956,0056,Natural,Geophysical,Earthquake,Ground movement,,,Kill,Spain,ESP,Southern Europe,Europe,Grenade (Andalousia),,,,,,,,,Richter,37,-4,,,1956,4,19,1956,4,19,11,70,,,70,,,,"10,6327191683"
1957-0040-ESP,1957,0040,Natural,Hydrological,Flood,,,,Kill,Spain,ESP,Southern Europe,Europe,,,,,,,,,,Km2,,,,,1957,10,,1957,10,,77,,,,,,,,"10,9880071868"
1958-0039-FRA,1958,0039,Natural,Hydrological,Flood,Riverine flood,,,Kill,France,FRA,Western Europe,Europe,"Gard, Hérault",,,,,No,No,,,Km2,,,,,1958,9,30,1958,10,4,35,,,,,,,,"11,2878924133"
1961-0058-FRA,1961,0058,Natural,Hydrological,Landslide,,,,Kill,France,FRA,Western Europe,Europe,Clamart (Hauts-de-Seine),,,,,No,No,,,,,,,,1961,6,1,1961,6,1,21,,,,,,,,"11,6920750645"
1961-0053-GRC,1961,0053,Natural,Meteorological,Storm,Tropical cyclone,,,Kill,Greece,GRC,Southern Europe,Europe,,,,,,,,,,Kph,,,,,1961,11,,1961,11,,43,,,,,,,,"11,6920750645"
1962-0044-ALB,1962,0044,Natural,Geophysical,Earthquake,Ground movement,,,Kill,Albania,ALB,Southern Europe,Europe,"Fier, Volre",,,,,,,,6,Richter,40.9,19.5,16:30,,1962,3,18,1962,3,18,15,154,,,154,,,,"11,8322415324"
1962-0003-DFR,1962,0003,Natural,Meteorological,Storm,Convective storm,Severe storm,,Kill,Germany Fed Rep,DFR,Western Europe,Europe,"Hamburg, North Sea",,,,,No,No,,,Kph,,,,,1962,2,,1962,2,,347,,,,,,,600000,"11,8322415324"
1962-0008-ESP,1962,0008,Natural,Hydrological,Flood,Flash flood,,,Kill,Spain,ESP,Southern Europe,Europe,Barcelona,,,,,No,No,,,Km2,,,,,1962,9,27,1962,9,27,445,,,,,,,80000,"11,8322415324"
1963-0055-BEL,1963,0055,Natural,Meteorological,Extreme temperature,Cold wave,,,Kill,Belgium,BEL,Western Europe,Europe,,,,,,,,,-22,°C,,,,,1963,,,1963,,,12,,,,,,,,"11,9789161597"
1964-0016-AZO,1964,0016,Natural,Geophysical,Earthquake,Ground movement,,,Affect,Azores Islands,AZO,Southern Europe,Europe,Sao Jorge Isl.,,,,Yes,,,,5,Richter,38.8,-28.4,12:19,,1964,2,18,1964,2,18,,,1000,,1000,,,,"12,132117488"
1965-0070-BGR,1965,0070,Natural,Hydrological,Landslide,,,,Kill,Bulgaria,BGR,Eastern Europe,Europe,Rila mountains,,,,,,,,,,,,,,1965,12,17,1965,12,17,11,,,,,,,,"12,3244326684"
1965-0051-CHE,1965,0051,Natural,Hydrological,Landslide,Avalanche,,,Kill,Switzerland,CHE,Western Europe,Europe,Saas-Fee,,,,,,,,,,,,,,1965,8,30,1965,8,30,90,,,,,,,,"12,3244326684"
1965-0015-GRC,1965,0015,Natural,Geophysical,Earthquake,Ground movement,,,Kill,Greece,GRC,Southern Europe,Europe,"(1) Alonisos & Skopelos, (2) C Patras, Corinth, (3) C Peloponnesus",,,,Yes,,,,6,Richter,39.4,24,,,1965,3,9,1965,3,9,38,253,30000,,30253,,,8000,"12,3244326684"
1966-0115-BEL,1966,0115,Natural,Meteorological,Storm,Convective storm,Tornado,,Govern,Belgium,BEL,Western Europe,Europe,"Nivelle, Bruxelles",,,,,,,,,Kph,,,,,1966,6,17,1966,6,17,,,,,,,,,"12,6960281686"
1966-0083-GBR,1966,0083,Natural,Hydrological,Landslide,,,,Kill,United Kingdom of Great Britain and Northern Ireland (the),GBR,Northern Europe,Europe,"Aberfan, Wales",,,,,,,,,,,,,,1966,10,21,1966,10,21,140,,,,,,,,"12,6960281686"
1966-0026-GRC,1966,0026,Natural,Geophysical,Earthquake,Ground movement,,,Affect,Greece,GRC,Southern Europe,Europe,Eurytania region,,,,Yes,,,,6,Richter,39.2,22,04:01,,1966,2,5,1966,2,5,1,50,11000,,11050,,,4000,"12,6960281686"
1966-0068-GRC,1966,0068,Natural,Geophysical,Earthquake,Ground movement,,,Affect,Greece,GRC,Southern Europe,Europe,"(1) Megalopos, (2) Central Greece",,,,Yes,,,,6,Richter,37.5,22.1,16:13,,1966,9,1,1966,9,1,1,123,15000,,15123,,,14000,"12,6960281686"
1967-0075-ALB,1967,0075,Natural,Geophysical,Earthquake,Ground movement,,,Kill,Albania,ALB,Southern Europe,Europe,Shupenze (Albania-Yugo Border),,,,,,,,7,Richter,41.386,20.532,08:23,,1967,11,30,1967,11,30,11,134,,,134,,,20000,"13,0480621075"
1967-0108-BEL,1967,0108,Natural,Meteorological,Storm,Convective storm,Tornado,,Affect,Belgium,BEL,Western Europe,Europe,"Oostmalle, Ypres region",,,,,,,,,Kph,,,,,1967,6,25,1967,6,25,,100,,,100,,,,"13,0480621075"
1967-0041-FRA,1967,0041,Natural,Meteorological,Storm,Convective storm,Tornado,,Declar,France,FRA,Western Europe,Europe,North,,,,,No,No,,,Kph,,,,,1967,6,25,1967,6,25,5,,,,,,,20000,"13,0480621075"
1967-0131-FRA,1967,0131,Natural,Geophysical,Earthquake,Ground movement,,,Affected,France,FRA,Western Europe,Europe,"Arette, Lanne, Montory, Aramits, Haux, Sunhar (Pyrénées-Atlantiques)",,,,,,,,5,Richter,43.2,-0.5,23:07,,1967,8,13,1967,8,13,1,80,,1020,1100,,,,"13,0480621075"
1967-0032-GRC,1967,0032,Natural,Geophysical,Earthquake,Ground movement,,,Affect,Greece,GRC,Southern Europe,Europe,North West Mountains,,,,Yes,,,,6,Richter,39.5,21.2,09:08,,1967,5,1,1967,5,1,9,56,16527,,16583,,,5000,"13,0480621075"
1968-0032-GRC,1968,0032,Natural,Geophysical,Earthquake,Ground movement,,,Kill,Greece,GRC,Southern Europe,Europe,"Limnos, Agios Efstratios",,Tsunami/Tidal wave,,Yes,,,,7,Richter,39.368,24.957,00:45,,1968,2,20,1968,2,20,19,18,4000,3600,7618,,,600,"13,605446087"
1968-0027-CHE,1968,0027,Natural,Hydrological,Landslide,Avalanche,,,Kill,Switzerland,CHE,Western Europe,Europe,Alps,,,,,,,,,,,,,,1968,1,28,1968,1,28,20,,22,,22,,,,"13,605446087"
1968-0056-DFR,1968,0056,Natural,Meteorological,Storm,Convective storm,Tornado,,OFDA,Germany Fed Rep,DFR,Western Europe,Europe,P Forzheim,,,,,,,,,Kph,,,,,1968,7,10,1968,7,10,2,,,,,,,31000,"13,605446087"
1968-0022-GBR,1968,0022,Natural,Meteorological,Storm,,,,Kill,United Kingdom of Great Britain and Northern Ireland (the),GBR,Northern Europe,Europe,Scotland,,,,,,,,,Kph,,,,,1968,1,14,1968,1,14,20,,700,,700,,,2500,"13,605446087"
1969-0074-FRA,1969,0074,Natural,Meteorological,Storm,,,,Kill,France,FRA,Western Europe,Europe,"Brittany, Normandy",,,,,,,,,Kph,,,,,1969,7,6,1969,7,6,23,,,,,,,,"14,3486278167"
1970-0018-CHE,1970,0018,Natural,Hydrological,Landslide,Avalanche,,,Kill,Switzerland,CHE,Western Europe,Europe,Reckingen,,,,,,,,,,,,,,1970,2,24,1970,2,24,30,,48,,48,,,,"15,1863354613"
1970-0016-FRA,1970,0016,Natural,Hydrological,Landslide,Avalanche,,,Kill,France,FRA,Western Europe,Europe,Val d'Isere,,,,,,,,,,,,,,1970,2,10,1970,2,10,42,37,,,37,,,,"15,1863354613"
1970-0027-FRA,1970,0027,Natural,Hydrological,Landslide,Avalanche,,,Kill,France,FRA,Western Europe,Europe,"Plateau d'Assy, St Gervais (Haute-savoie), sanatorium Praz-coutant",,,,,No,No,,,,,,,,1970,4,16,1970,4,16,72,,,,,,,,"15,1863354613"
1970-0028-HUN,1970,0028,Natural,Hydrological,Flood,,,,Kill,Hungary,HUN,Eastern Europe,Europe,Tisza,,,,,No,No,,,Km2,,,,,1970,5,1,1970,6,30,300,,,,,,,85000,"15,1863354613"
1971-0119-BEL,1971,0119,Natural,Hydrological,Flood,Flash flood,,,Affect,Belgium,BEL,Western Europe,Europe,Bassenge,,,,,,,,,Km2,,,,,1971,8,26,1971,8,26,,,600,,600,,,,"15,8382546266"
1971-0010-ESP,1971,0010,Natural,Meteorological,Extreme temperature,Cold wave,,,OFDA,Spain,ESP,Southern Europe,Europe,,,,,,,,,,°C,,,,,1971,1,,1971,1,,400,,,,,,,100000,"15,8382546266"
1971-0046-ESP,1971,0046,Natural,Meteorological,Storm,,,,OFDA,Spain,ESP,Southern Europe,Europe,Leon province,,,,,,,,,Kph,,,,,1971,8,,1971,8,,,,,,,,,55000,"15,8382546266"
1972-0142-BEL,1972,0142,Natural,Meteorological,Storm,,,,Regional,Belgium,BEL,Western Europe,Europe,,,,,,,,,,Kph,,,,,1972,11,,1972,11,,,,,,,,,,"16,3565247542"
1972-0061-DFR,1972,0061,Natural,Meteorological,Storm,,,,Kill,Germany Fed Rep,DFR,Western Europe,Europe,Lower Saxony,,,,,,,,,Kph,,,,,1972,11,12,1972,11,12,54,,,,,,,420000,"16,3565247542"
1972-0060-ESP,1972,0060,Natural,Hydrological,Flood,,,,SigDam,Spain,ESP,Southern Europe,Europe,Alicante province,,,,,,,,,Km2,,,,,1972,11,,1972,11,,,,,,,,,20000,"16,3565247542"
1972-0144-GBR,1972,0144,Natural,Meteorological,Storm,,,,Regional,United Kingdom of Great Britain and Northern Ireland (the),GBR,Northern Europe,Europe,,,,,,,,,,Kph,,,,,1972,11,,1972,11,,,,,,,,,,"16,3565247542"
1973-0046-ESP,1973,0046,Natural,Hydrological,Flood,Flash flood,,,Kill,Spain,ESP,Southern Europe,Europe,"Granada, Almeria, Murcia",,,,,,,,,Km2,,,,,1973,10,19,1973,10,19,500,,,,,,,400000,"17,3669860177"
1973-0010-ESP,1973,0010,Natural,Meteorological,Storm,,,,Kill,Spain,ESP,Southern Europe,Europe,Atlantic coast,,,,,,,,,Kph,,,,,1973,1,17,1973,1,17,19,,,,,,,,"17,3669860177"
1974-0009-CSK,1974,0009,Natural,Hydrological,Landslide,Avalanche,,,Kill,Czechoslovakia,CSK,Eastern Europe,Europe,Tatra montains (Slovakia),,,,,,,,,,,,,,1974,1,21,1974,1,21,14,,,,,,,,"19,2868744704"
1974-0043-DFR,1974,0043,Natural,Meteorological,Storm,,,,OFDA,Germany Fed Rep,DFR,Western Europe,Europe,"Lower Saxony,Bavaria",,,,,,,,,Kph,,,,,1974,8,,1974,8,,,,,,,,,22000,"19,2868744704"
1975-0026-AUT,1975,0026,Natural,Hydrological,Landslide,,,,Kill,Austria,AUT,Western Europe,Europe,Alps,,,,,,,,,,,,,,1975,4,,1975,4,,15,,,,,,,,"21,0503075152"
1975-0024-CHE,1975,0024,Natural,Hydrological,Landslide,Avalanche,,,Kill,Switzerland,CHE,Western Europe,Europe,Alps,,,,,,,,,,,,,,1975,4,,1975,4,,13,,,,,,,,"21,0503075152"
