Source:,"EM-DAT, CRED / UCLouvain, Brussels, Belgium",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,www.emdat.be (D. Guha-Sapir),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Version:,2020-10-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
File creation:,"Mon, 19 Oct 2020 03:55:24 CEST",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table type:,Custom request,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# of records:,699,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dis No,Year,Seq,Disaster Group,Disaster Subgroup,Disaster Type,Disaster Subtype,Disaster Subsubtype,Event Name,Entry Criteria,Country,ISO,Region,Continent,Location,Origin,Associated Dis,Associated Dis2,OFDA Response,Appeal,Declaration,Aid Contribution,Dis Mag Value,Dis Mag Scale,Latitude,Longitude,Local Time,River Basin,Start Year,Start Month,Start Day,End Year,End Month,End Day,Total Deaths,No Injured,No Affected,No Homeless,Total Affected,Reconstruction Costs ('000 US$),Insured Damages ('000 US$),Total Damages ('000 US$),CPI
1976-9126-AUS,1976,9126,Natural,Climatological,Drought,Drought,,,,Australia,AUS,Australia and New Zealand,Oceania,"Victoria, South Australia, Southern Inland New South Wales",,,,,,,,,Km2,,,,,1976,,,1976,,,,,,,,,,,"22,2596013891"
1976-9127-AUS,1976,9127,Natural,Climatological,Drought,Drought,,,,Australia,AUS,Australia and New Zealand,Oceania,Southwest of Western Australia,,,,,,,,,Km2,,,,,1976,5,,1976,8,,,,,,,,,,"22,2596013891"
1976-0067-AUS,1976,0067,Natural,Hydrological,Flood,,,,Affect,Australia,AUS,Australia and New Zealand,Oceania,Queanreyan,,,,,,,,,Km2,,,,,1976,10,,1976,10,,,,10000,,10000,,,,"22,2596013891"
1976-0131-AUS,1976,0131,Natural,Meteorological,Storm,,,,Govern,Australia,AUS,Australia and New Zealand,Oceania,Sydney,,,,,,,,,Kph,,,,,1976,11,10,1976,11,10,,,,,,,,38024,"22,2596013891"
1976-0035-GUM,1976,0035,Natural,Meteorological,Storm,Tropical cyclone,,Pamela,Kill,Guam,GUM,Micronesia,Oceania,,,,,,,,,,Kph,,,,,1976,5,,1976,5,,9,,,,,,,120000,"22,2596013891"
1977-0223-AUS,1977,0223,Natural,Meteorological,Storm,Convective storm,Lightning/Thunderstorms,,Govern,Australia,AUS,Australia and New Zealand,Oceania,New South Wales,,,,,,,,,Kph,,,,,1977,1,,1977,1,,,,,,,,,38680,"23,7068509965"
1977-0225-AUS,1977,0225,Natural,Climatological,Wildfire,"Land fire (Brush, Bush, Pasture)",,,Govern,Australia,AUS,Australia and New Zealand,Oceania,Western district,,,,,,,,,Km2,,,,,1977,2,,1977,2,,,,,,,,,22592,"23,7068509965"
1977-0227-AUS,1977,0227,Natural,Climatological,Wildfire,"Land fire (Brush, Bush, Pasture)",,,Govern,Australia,AUS,Australia and New Zealand,Oceania,"Blue Mountains, New South Wales",,,,,,,,,Km2,,,,,1977,12,,1977,12,,3,,,,,,,2168,"23,7068509965"
1977-0224-AUS,1977,0224,Natural,Meteorological,Storm,,,,Govern,Australia,AUS,Australia and New Zealand,Oceania,"Tongala, Echuca Victoria",,,,,,,,,Kph,,,,,1977,2,,1977,2,,,,,,,,,10269,"23,7068509965"
1977-0226-AUS,1977,0226,Natural,Hydrological,Flood,,,,Govern,Australia,AUS,Australia and New Zealand,Oceania,New South Wales,,,,,,,,,Km2,,,,,1977,3,,1977,3,,,,,,,,,17686,"23,7068509965"
1978-0049-AUS,1978,0049,Natural,Meteorological,Storm,Tropical cyclone,,Alby,Affect,Australia,AUS,Australia and New Zealand,Oceania,Western,,,,,No,No,,,Kph,,,,,1978,4,,1978,4,,5,,100,,100,,,1000000,"25,5159153235"
1978-0032-FJI,1978,0032,Natural,Meteorological,Storm,Tropical cyclone,,Bob,OFDA,Fiji,FJI,Melanesia,Oceania,,,,,,,,,,Kph,,,,,1978,2,4,1978,2,4,,,,,,,,,"25,5159153235"
1914-0001-TKL,1914,0001,Natural,Meteorological,Storm,Tropical cyclone,,,OFDA,Tokelau,TKL,Polynesia,Oceania,Atafu,,,,,,,,,Kph,,,,,1914,1,,1914,1,,,,,,,,,,"3,9267123358"
1918-0019-NZL,1918,0019,Natural,Biological,Epidemic,Viral disease,,Influenza,Kill,New Zealand,NZL,Australia and New Zealand,Oceania,,,,,,,,,,Vaccinated,,,,,1918,11,,1918,11,,6700,,,,,,,,"5,8965912816"
1925-0006-TKL,1925,0006,Natural,Meteorological,Storm,Tropical cyclone,,,OFDA,Tokelau,TKL,Polynesia,Oceania,,,,,,,,,,Kph,,,,,1925,12,,1925,12,,,,,,,,,,"6,8750079766"
1929-0013-NZL,1929,0013,Natural,Geophysical,Earthquake,Ground movement,,,Kill,New Zealand,NZL,Australia and New Zealand,Oceania,Murchison,,"Slide (land, mud, snow, rock)",Tsunami/Tidal wave,,,,,8,Richter,-41.55,172.25,10:47,,1929,6,17,1929,6,17,17,,,,,,,,"6,7315068613"
1931-0004-NZL,1931,0004,Natural,Geophysical,Earthquake,Ground movement,,,Kill,New Zealand,NZL,Australia and New Zealand,Oceania,"Wairoa, Hastings, Napier Hawke's Bay",,,,,,,,7,Richter,-39.659,176.42,10:47,,1931,2,3,1931,2,3,256,,11000,,11000,,,25000,"5,9618190613"
1931-0011-SLB,1931,0011,Natural,Geophysical,Earthquake,Tsunami,,,Kill,Solomon Islands,SLB,Melanesia,Oceania,San Cristobal isl.,Earthquake,,,,,,,8,Richter,11.117,161.11,06:13,,1931,10,4,1931,10,4,50,,,,,,,,"5,9618190613"
1937-0004-PNG,1937,0004,Natural,Geophysical,Volcanic activity,Ash fall,,Tavurvur,Kill,Papua New Guinea,PNG,Melanesia,Oceania,Rabaul,,,,,,,,,,,,,,1937,5,29,1937,5,29,506,,7500,,7500,,,,"5,635680163"
1938-0018-NZL,1938,0018,Natural,Hydrological,Flood,Flash flood,,,Kill,New Zealand,NZL,Australia and New Zealand,Oceania,Kopuawhara,,,,,,,,,Km2,,,,,1938,2,,1938,2,,21,,,,,,,,"5,5182701596"
1939-0003-NCL,1939,0003,Natural,Meteorological,Storm,Tropical cyclone,,,OFDA,New Caledonia,NCL,Melanesia,Oceania,"Belep, Loyalty Islands",,,,,,,,,Kph,,,,,1939,3,25,1939,3,25,3,,,,,,,,"5,4530423799"
1946-0003-TON,1946,0003,Natural,Geophysical,Volcanic activity,Ash fall,,Niuafo'ou,Affect,Tonga,TON,Polynesia,Oceania,Niuafo'ou,,,,,,,,,,,,,,1946,,,1946,,,,,2500,,2500,,,,"7,6446957766"
1948-0003-NCL,1948,0003,Natural,Meteorological,Storm,Tropical cyclone,,,OFDA,New Caledonia,NCL,Melanesia,Oceania,Southern New Caledonia,,,,,,,,,Kph,,,,,1948,3,13,1948,3,13,2,,,,,,,,"9,4188913835"
1951-0010-NCL,1951,0010,Natural,Meteorological,Storm,Tropical cyclone,,,OFDA,New Caledonia,NCL,Melanesia,Oceania,Central Caledonia,,,,,,,,,Kph,,,,,1951,2,26,1951,2,26,2,,,,,,,,"10,1755336276"
1951-0006-PNG,1951,0006,Natural,Geophysical,Volcanic activity,Ash fall,,Lamington,Kill,Papua New Guinea,PNG,Melanesia,Oceania,,,,,,No,No,,,,,,,,1951,1,15,1951,1,20,3000,,,,,,,,"10,1755336276"
1953-0023-NZL,1953,0023,Natural,Geophysical,Volcanic activity,Ash fall,,Ruapehu,Kill,New Zealand,NZL,Australia and New Zealand,Oceania,Ruapehu,,,,,,,,,,,,,,1953,12,25,1953,12,25,150,,,,,,,,"10,48862697"
1955-0007-NCL,1955,0007,Natural,Meteorological,Storm,Tropical cyclone,,,OFDA,New Caledonia,NCL,Melanesia,Oceania,,,,,,,,,,Kph,,,,,1955,3,4,1955,3,4,1,,,,,,,,"10,4730004098"
1956-0024-SLB,1956,0024,Natural,Meteorological,Storm,Tropical cyclone,,,Kill,Solomon Islands,SLB,Melanesia,Oceania,Tikopia,,,,,,,,,Kph,,,,,1956,,,1956,,,200,,,,,,,,"10,6327191683"
1957-0011-PNG,1957,0011,Natural,Geophysical,Volcanic activity,Ash fall,,Manam,Affect,Papua New Guinea,PNG,Melanesia,Oceania,Manam,,,,,,,,,,-4.08,145.037,,,1957,12,,1957,12,,,,3200,,3200,,,,"10,9880071868"
1958-0007-PYF,1958,0007,Natural,Meteorological,Storm,Tropical cyclone,,,OFDA,French Polynesia,PYF,Polynesia,Oceania,"Tuamotu, Society Isl.",,,,,,,,,Kph,,,,,1958,1,19,1958,1,19,,,,,,,,,"11,2878924133"
1959-0004-NCL,1959,0004,Natural,Meteorological,Storm,Tropical cyclone,,Beatrice,OFDA,New Caledonia,NCL,Melanesia,Oceania,Southern New Caledonia,,,,,,,,,Kph,,,,,1959,1,18,1959,1,18,1,,,,,,,700,"11,4019798896"
